gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
fryA.t01	1998	1808	608	522	513	1118	1443	4866	997	2496
ypdE.t01	731	643	258	208	239	393	571	2108	369	1038
ypdF.t01	827	692	214	165	226	429	544	2062	451	1086
fryC.t01	1055	792	306	262	237	527	653	2515	519	1248
fryB.t01	254	236	109	90	51	164	142	573	152	327
glk.t01	2074	1925	923	579	462	755	799	2323	526	966
yfeO.t01	1137	958	312	551	419	717	902	2660	598	1257
ypeC.t01	329	258	72	278	223	331	237	623	175	327
mntH.t01	1171	851	412	420	445	675	854	2865	528	1239
nupC.t01	2121	1811	1096	1202	1071	1282	1071	2634	741	1203
insL1.t01	0	0	0	0	0	0	0	0	0	1113
yfeA.t01	2430	2120	859	732	682	1267	1767	5212	1021	2190
alaX.r01	0	0	0	0	0	0	0	0	0	76
alaW.r01	863	1157	811	655	559	547	997	1373	521	76
yfeC.t01	1448	1355	1247	608	633	740	1983	1590	464	345
yfeD.t01	480	380	138	135	162	228	358	787	231	393
gltX.t01	2809	2726	1538	1191	1003	1122	1696	3248	1009	1416
valU.r01	0	0	0	0	0	0	0	0	0	76
valX.r01	0	0	0	0	0	0	0	0	0	76
valY.r01	3716	3472	2337	1933	1482	1704	1233	2135	861	76
lysV.r01	23205	20988	13430	7779	7917	6697	4883	6783	3803	76
xapR.t01	809	647	251	235	198	398	589	1798	424	885
xapB.t01	974	1125	351	342	281	532	828	2546	504	1257
xapA.t01	732	612	179	187	188	413	376	1708	322	834
yfeN.t01	775	688	177	145	210	489	467	1934	371	765
yfeR.t01	855	773	328	270	232	559	651	1880	343	927
yfeH.t01	1086	899	487	447	400	679	662	2446	496	999
ypeB.t01	173	186	88	103	97	75	147	475	84	219
ligA.t01	2221	1912	789	682	798	1055	1464	4449	971	2016
zipA.t01	2385	2183	1330	1562	1279	1634	1989	2684	874	987
cysZ.t01	2103	1995	1085	708	624	743	931	1989	528	762
cysK.t01	1744	1297	855	1063	890	1062	2518	3005	1137	972
ptsH.t01	2530	2804	1740	2573	2125	2125	2348	1750	972	258
ptsI.t01	11361	10280	6693	12315	11318	10081	9638	8567	4101	1728
crr.t01	3592	3318	2299	6294	4973	4486	5232	3413	1820	510
